ID,Jugador,Equipo,Posicion,Edad,Partidos,Goles,Asistencias,ValorMercado
123,Luis Ramirez,Bayern Munich,Defensa,21,8,6,5,2130282
124,Eduardo Lopez,Juventus,Portero,36,9,0,3,121754454
125,Luis Flores,Manchester City,Defensa,37,20,2,3,109011417
126,Juan Ramirez,Milan,Defensa,40,10,0,10,113984561
127,Luis Flores,PSG,Delantero,29,17,21,13,57425583
128,Ricardo Hernandez,Liverpool,Delantero,23,10,40,1,79561234
129,Eduardo Lopez,Barcelona,Mediocampista,25,11,14,2,102371957
130,Luis Ramirez,Barcelona,Defensa,18,37,7,5,8472111
131,Fernando Ramirez,Chelsea,Defensa,32,35,5,7,140731210
132,Andres Perez,PSG,Portero,23,22,0,3,101617679
133,Fernando Ruiz,Liverpool,Mediocampista,22,11,4,6,111678477
134,Ricardo Torres,Barcelona,Mediocampista,33,38,9,14,44205536
135,Juan Garcia,Real Madrid,Defensa,33,33,6,10,164401443
136,Javier Diaz,Manchester City,Defensa,22,13,3,6,102534260
137,Javier Ramirez,Real Madrid,Defensa,18,29,2,10,153941666
138,Carlos Ruiz,Bayern Munich,Mediocampista,33,7,0,21,67675644
139,Andres Silva,Bayern Munich,Defensa,29,19,8,4,40539171
140,Ricardo Hernandez,Manchester City,Delantero,24,33,13,19,197548276
141,Javier Hernandez,Juventus,Delantero,34,10,24,3,137073391
142,Javier Ramirez,Barcelona,Defensa,22,27,8,1,74351205
143,Miguel Flores,Real Madrid,Delantero,32,25,17,3,4648666
144,Juan Garcia,Liverpool,Delantero,25,20,4,2,110003158
145,Javier Lopez,PSG,Delantero,34,32,39,15,69909585
146,Luis Garcia,Liverpool,Mediocampista,28,7,4,17,109481963
147,Juan Ruiz,Liverpool,Portero,21,22,0,3,44181162
148,Carlos Lopez,Barcelona,Delantero,27,37,21,19,35262380
149,Juan Ramirez,Barcelona,Mediocampista,30,27,11,14,160767133
150,Fernando Silva,Milan,Portero,37,10,0,3,129678165
151,Carlos Diaz,Bayern Munich,Defensa,38,29,0,4,119576735
152,Diego Torres,Juventus,Mediocampista,35,20,1,4,14260103
153,Fernando Torres,Milan,Defensa,18,30,7,5,112878400
154,Eduardo Torres,Manchester City,Mediocampista,39,22,2,3,183676489
155,Diego Hernandez,Juventus,Portero,29,37,0,2,10533746
156,Luis Ruiz,PSG,Delantero,26,28,13,2,143015319
157,Luis Silva,Real Madrid,Portero,39,29,0,2,144379657
158,Andres Perez,Chelsea,Mediocampista,28,38,10,25,178766948
159,Juan Hernandez,Milan,Mediocampista,25,35,15,24,74759616
160,Miguel Hernandez,Real Madrid,Defensa,40,29,3,5,144435692
161,Miguel Hernandez,PSG,Delantero,29,34,4,13,193946542
162,Diego Garcia,Arsenal,Delantero,30,20,30,6,29717070
163,Carlos Hernandez,Arsenal,Mediocampista,37,37,14,25,40499181
164,Juan Ruiz,Arsenal,Mediocampista,34,34,6,13,172097222
165,Javier Garcia,Liverpool,Mediocampista,40,19,1,23,7251828
166,Fernando Silva,Milan,Defensa,39,32,1,10,78728072
167,Javier Hernandez,Chelsea,Portero,22,32,0,1,88508965
168,Miguel Silva,PSG,Portero,29,38,0,1,32275513
169,Javier Flores,Liverpool,Portero,29,15,0,0,30729359
170,Fernando Hernandez,Barcelona,Defensa,23,23,6,5,117518817
171,Fernando Garcia,Barcelona,Mediocampista,31,19,7,8,46599160
172,Carlos Garcia,Arsenal,Delantero,37,11,0,5,47412672
173,Diego Hernandez,Bayern Munich,Defensa,27,26,7,5,22202795
174,Luis Ruiz,Bayern Munich,Defensa,35,23,7,5,178891556
175,Carlos Perez,Liverpool,Defensa,36,12,5,7,173174150
176,Juan Ramirez,Liverpool,Defensa,27,17,0,8,133643833
177,Fernando Diaz,Liverpool,Mediocampista,30,12,12,23,108003097
178,Diego Ruiz,Real Madrid,Delantero,26,7,0,14,13169624
179,Carlos Ramirez,Barcelona,Mediocampista,36,17,5,19,37089615
180,Andres Diaz,Real Madrid,Portero,33,17,0,2,144443763
181,Eduardo Garcia,Manchester City,Mediocampista,31,8,4,6,193010081
182,Juan Hernandez,Arsenal,Defensa,34,27,0,4,13328500
183,Andres Perez,Real Madrid,Portero,26,17,0,1,168751344
184,Eduardo Lopez,Chelsea,Delantero,20,32,35,15,162862263
185,Andres Lopez,Liverpool,Delantero,25,31,10,3,164066822
186,Andres Perez,Liverpool,Mediocampista,38,21,13,15,199790730
187,Javier Torres,Juventus,Portero,26,34,0,0,173849717
188,Luis Ruiz,Chelsea,Portero,32,35,0,3,19829368
189,Carlos Perez,Juventus,Defensa,32,21,3,10,78531813
190,Ricardo Torres,Arsenal,Delantero,20,19,14,6,65893354
191,Luis Hernandez,Barcelona,Mediocampista,26,24,9,24,11012889
192,Carlos Diaz,Barcelona,Mediocampista,38,32,6,6,135788672
193,Miguel Perez,Milan,Portero,34,5,0,0,63995828
194,Miguel Diaz,Bayern Munich,Portero,22,10,0,1,21737751
195,Eduardo Garcia,Juventus,Defensa,40,33,4,9,148465351
196,Javier Ruiz,Real Madrid,Delantero,33,10,39,20,126566174
197,Ricardo Ruiz,Juventus,Mediocampista,22,38,2,17,71109405
198,Carlos Hernandez,Real Madrid,Delantero,31,7,28,5,122593576
199,Eduardo Ramirez,Liverpool,Delantero,40,28,26,4,13023185
200,Andres Diaz,Liverpool,Mediocampista,30,30,8,15,182805966
201,Fernando Flores,Chelsea,Defensa,28,7,4,1,76379275
202,Luis Perez,Barcelona,Mediocampista,39,8,12,12,193385619
203,Andres Torres,Milan,Defensa,27,21,0,5,91655371
204,Juan Hernandez,Milan,Portero,29,15,0,3,127206406
205,Andres Garcia,Juventus,Portero,21,9,0,1,168296587
206,Javier Hernandez,Barcelona,Portero,30,15,0,1,95970241
207,Javier Hernandez,PSG,Defensa,34,37,3,2,9212865
208,Fernando Ramirez,Bayern Munich,Mediocampista,40,29,12,12,68832431
209,Luis Hernandez,Arsenal,Portero,21,33,0,3,15349788
210,Luis Ramirez,Liverpool,Portero,30,7,0,0,98045991
211,Javier Garcia,PSG,Portero,32,5,0,1,162277839
212,Carlos Ruiz,Manchester City,Mediocampista,35,13,6,17,65848947
213,Fernando Ramirez,Liverpool,Mediocampista,24,6,1,1,139200066
214,Juan Ramirez,Milan,Mediocampista,33,35,3,18,91136991
215,Fernando Flores,PSG,Mediocampista,40,38,14,8,180799588
216,Luis Ruiz,Liverpool,Mediocampista,30,38,15,1,94171016
217,Ricardo Hernandez,Arsenal,Defensa,31,14,6,10,14139904
218,Luis Torres,Arsenal,Defensa,23,7,2,0,74979017
219,Javier Garcia,Juventus,Portero,30,6,0,2,81268282
220,Luis Lopez,Milan,Defensa,25,10,0,0,139872356
221,Diego Torres,Bayern Munich,Delantero,31,34,40,3,10960972
222,Eduardo Garcia,Real Madrid,Mediocampista,27,36,11,3,89675267
223,Ricardo Flores,Liverpool,Portero,28,12,0,1,47507066
224,Juan Ruiz,Real Madrid,Mediocampista,37,38,3,22,32532266
225,Miguel Perez,Real Madrid,Mediocampista,22,17,8,5,195152345
226,Javier Ramirez,Real Madrid,Defensa,33,20,0,4,178602839
227,Fernando Ruiz,Chelsea,Defensa,35,12,5,0,143118439
228,Diego Silva,Barcelona,Delantero,32,9,5,18,129435381
229,Miguel Ramirez,Arsenal,Delantero,35,26,30,10,124933729
230,Miguel Silva,Bayern Munich,Defensa,25,20,3,8,190519584
231,Diego Ramirez,Milan,Mediocampista,36,8,6,5,4496439
232,Miguel Hernandez,Manchester City,Delantero,20,17,1,20,35288226
233,Andres Hernandez,Juventus,Defensa,21,31,4,7,187014777
234,Carlos Ruiz,Chelsea,Defensa,22,12,8,4,38889526
235,Javier Ramirez,Chelsea,Defensa,22,15,4,3,104674835
236,Luis Flores,Bayern Munich,Defensa,23,29,3,8,33602095
237,Miguel Torres,Juventus,Mediocampista,36,14,15,7,21257001
238,Diego Ramirez,PSG,Defensa,36,9,0,0,167463467
239,Ricardo Torres,Chelsea,Defensa,28,29,1,5,57455895
240,Javier Garcia,Manchester City,Defensa,38,7,8,7,5353540
241,Fernando Torres,Barcelona,Portero,23,24,0,2,161332423
242,Eduardo Flores,Chelsea,Mediocampista,35,36,14,15,14729311
243,Andres Perez,Juventus,Delantero,25,29,23,20,109057838
244,Andres Torres,Real Madrid,Mediocampista,18,5,7,13,9268769
245,Carlos Garcia,Juventus,Portero,18,14,0,1,147007394
246,Carlos Lopez,Milan,Defensa,30,25,7,5,147782699
247,Luis Diaz,Milan,Portero,18,14,0,1,129798208
248,Ricardo Flores,PSG,Delantero,18,27,26,8,142735902
249,Juan Lopez,Milan,Mediocampista,35,38,12,24,137092931
250,Fernando Diaz,Chelsea,Delantero,34,18,39,8,197027695
251,Miguel Ramirez,Liverpool,Defensa,24,19,4,4,181473106
252,Miguel Lopez,Bayern Munich,Defensa,24,37,4,8,157316905
253,Luis Perez,Liverpool,Portero,27,10,0,1,118840916
254,Miguel Ramirez,Milan,Mediocampista,18,9,2,0,165607433
255,Andres Perez,Juventus,Delantero,34,30,22,20,96416845
256,Javier Lopez,PSG,Defensa,32,31,7,1,84490003
257,Eduardo Torres,Milan,Portero,25,37,0,1,109994374
258,Fernando Ramirez,Real Madrid,Portero,37,17,0,1,141507328
259,Juan Perez,Barcelona,Portero,34,19,0,1,62036183
260,Fernando Torres,Manchester City,Defensa,34,31,0,0,79696578
261,Diego Ruiz,PSG,Delantero,20,37,33,5,51831775
262,Andres Garcia,Milan,Delantero,18,14,39,3,153832398
263,Andres Ruiz,Bayern Munich,Delantero,19,33,13,8,173579057
264,Javier Perez,Real Madrid,Portero,36,18,0,0,29258392
265,Fernando Ramirez,Real Madrid,Defensa,22,38,2,7,5663040
266,Andres Hernandez,Barcelona,Delantero,25,38,5,15,142527513
267,Eduardo Ruiz,Arsenal,Portero,20,31,0,1,147657795
268,Fernando Perez,Juventus,Portero,24,15,0,3,189396544
269,Juan Diaz,Chelsea,Defensa,21,35,8,0,64294905
270,Ricardo Flores,PSG,Mediocampista,26,29,13,25,63300792
271,Luis Hernandez,Arsenal,Portero,31,23,0,3,64908925
272,Carlos Hernandez,Chelsea,Mediocampista,30,22,9,24,65272623
273,Diego Lopez,Manchester City,Delantero,31,15,38,2,77499690
274,Andres Hernandez,Real Madrid,Defensa,33,20,8,9,129022174
275,Diego Diaz,Barcelona,Defensa,18,28,4,5,29287898
276,Javier Garcia,Liverpool,Delantero,19,36,17,3,198039489
277,Carlos Lopez,Manchester City,Mediocampista,36,24,7,2,73555271
278,Luis Ramirez,PSG,Mediocampista,29,30,4,25,69939798
279,Carlos Diaz,Real Madrid,Mediocampista,34,21,12,9,94255526
280,Carlos Ruiz,Bayern Munich,Delantero,30,20,6,18,36709910
281,Juan Hernandez,PSG,Defensa,31,20,4,9,136607038
282,Diego Lopez,Real Madrid,Defensa,31,34,7,1,82741589
283,Fernando Diaz,Bayern Munich,Portero,26,25,0,1,35822262
284,Luis Diaz,Manchester City,Mediocampista,34,18,4,14,87047255
285,Miguel Ruiz,Real Madrid,Defensa,30,8,5,3,31409748
286,Fernando Diaz,Milan,Portero,19,15,0,2,160997450
287,Miguel Flores,Juventus,Mediocampista,26,22,10,9,153730164
288,Fernando Perez,Milan,Defensa,30,22,1,4,68777915
289,Javier Silva,Juventus,Delantero,36,7,1,5,57741494
290,Carlos Flores,Chelsea,Mediocampista,23,27,10,17,139556997
291,Fernando Flores,Juventus,Portero,38,35,0,2,11691525
292,Ricardo Hernandez,Real Madrid,Mediocampista,38,15,6,17,129443298
293,Juan Silva,Bayern Munich,Delantero,30,7,30,3,144140377
294,Eduardo Silva,Milan,Defensa,37,12,6,8,76863936
295,Juan Garcia,PSG,Portero,23,38,0,0,66849697
296,Miguel Hernandez,Manchester City,Mediocampista,30,32,8,1,178678930
297,Diego Diaz,Manchester City,Defensa,25,25,7,1,137768100
298,Luis Ramirez,Liverpool,Delantero,29,31,38,11,22774039
299,Javier Hernandez,PSG,Mediocampista,37,6,7,3,185484801
300,Luis Silva,Liverpool,Portero,32,28,0,3,43398178
301,Ricardo Torres,Juventus,Defensa,22,6,8,7,171848955
302,Andres Ruiz,Barcelona,Delantero,37,17,0,10,182126144
303,Eduardo Lopez,Milan,Defensa,39,36,3,10,9442451
304,Fernando Ramirez,Chelsea,Portero,34,6,0,1,167308793
305,Andres Torres,Milan,Delantero,32,5,4,6,199670201
306,Diego Garcia,Chelsea,Portero,22,11,0,0,130216158
307,Andres Flores,Liverpool,Delantero,20,8,12,20,188803817
308,Miguel Torres,Bayern Munich,Delantero,36,29,24,9,83556320
309,Ricardo Lopez,Barcelona,Portero,19,36,0,0,130924845
310,Juan Garcia,Arsenal,Mediocampista,24,33,15,2,125076634
311,Diego Flores,Liverpool,Defensa,22,14,0,7,199100869
312,Ricardo Diaz,Manchester City,Delantero,38,15,35,2,91238711
313,Juan Flores,Milan,Defensa,21,32,7,3,194106889
314,Ricardo Flores,PSG,Portero,22,13,0,3,186303830
315,Luis Silva,Real Madrid,Delantero,26,29,3,18,46126113
316,Diego Torres,Milan,Defensa,21,6,4,3,43942575
317,Andres Lopez,Liverpool,Mediocampista,37,18,8,2,27560147
318,Diego Diaz,PSG,Mediocampista,34,35,9,14,130563191
319,Diego Diaz,Liverpool,Defensa,28,14,5,5,14318545
320,Eduardo Lopez,PSG,Portero,30,31,0,3,105649037
321,Fernando Ruiz,Chelsea,Mediocampista,23,22,4,13,105265182
322,Javier Ruiz,Manchester City,Portero,21,30,0,3,36761439
323,Miguel Torres,Barcelona,Portero,25,7,0,1,168720602
324,Eduardo Torres,Juventus,Defensa,37,7,1,10,134197266
325,Miguel Hernandez,PSG,Delantero,33,30,18,4,115037592
326,Carlos Flores,Chelsea,Defensa,30,19,5,6,135819475
327,Javier Perez,Liverpool,Portero,39,25,0,0,103224978
328,Ricardo Hernandez,Chelsea,Defensa,26,8,8,3,3334196
329,Diego Flores,Milan,Mediocampista,31,25,11,22,11191767
330,Eduardo Garcia,Real Madrid,Delantero,26,11,2,11,29297210
331,Miguel Hernandez,Real Madrid,Mediocampista,36,37,2,13,12924965
332,Carlos Silva,Arsenal,Defensa,38,16,4,6,60890797
333,Carlos Silva,Milan,Mediocampista,34,21,13,15,119519031
334,Ricardo Diaz,PSG,Mediocampista,31,9,1,1,37214399
335,Miguel Lopez,Milan,Delantero,33,23,9,11,1660495
336,Ricardo Flores,Chelsea,Defensa,28,20,5,7,82725161
337,Ricardo Ramirez,PSG,Defensa,19,9,3,3,196492947
338,Juan Lopez,Arsenal,Defensa,19,36,8,1,1660666
339,Ricardo Ramirez,PSG,Defensa,27,14,5,7,191693698
340,Diego Perez,Chelsea,Portero,28,24,0,3,79616826
341,Ricardo Flores,PSG,Mediocampista,33,9,3,2,1135394
342,Diego Diaz,Arsenal,Mediocampista,26,21,2,6,197721210
343,Miguel Lopez,Manchester City,Delantero,40,12,18,8,180542726
344,Javier Torres,Liverpool,Delantero,35,6,33,14,193261192
345,Miguel Silva,Milan,Delantero,39,37,36,18,83070636
346,Juan Perez,Real Madrid,Portero,27,18,0,2,147898653
347,Andres Flores,Real Madrid,Portero,20,11,0,2,144296404
348,Javier Lopez,Real Madrid,Defensa,33,30,4,2,70652900
349,Miguel Hernandez,Real Madrid,Mediocampista,28,28,0,18,80342738
350,Carlos Torres,Juventus,Delantero,37,29,10,2,183970305
351,Juan Ramirez,PSG,Portero,21,23,0,0,7444517
352,Luis Diaz,Chelsea,Delantero,18,32,19,9,141855771
353,Andres Flores,Barcelona,Portero,22,18,0,1,179874779
354,Javier Diaz,Milan,Portero,23,24,0,2,17899212
355,Luis Garcia,Barcelona,Mediocampista,32,25,7,11,25291279
356,Carlos Diaz,Liverpool,Delantero,28,35,37,10,138949326
357,Andres Diaz,Arsenal,Mediocampista,33,31,1,1,77449074
358,Diego Lopez,Arsenal,Delantero,21,29,27,8,31818672
359,Javier Flores,Manchester City,Delantero,21,20,1,15,7658423
360,Fernando Hernandez,Barcelona,Mediocampista,39,26,0,0,53035897
361,Ricardo Lopez,Liverpool,Delantero,34,37,33,12,199963318
362,Carlos Torres,Real Madrid,Mediocampista,40,23,8,1,4012904
363,Diego Lopez,Chelsea,Portero,36,32,0,3,78020628
364,Andres Lopez,Manchester City,Mediocampista,40,31,6,22,2818924
365,Javier Diaz,Barcelona,Portero,27,6,0,3,164011299
366,Fernando Garcia,Juventus,Mediocampista,28,20,7,0,31678544
367,Carlos Diaz,Barcelona,Defensa,30,31,4,7,44310631
368,Fernando Flores,Milan,Defensa,24,12,7,1,86062210
369,Juan Lopez,Arsenal,Defensa,39,5,2,6,21345956
370,Miguel Ramirez,Milan,Portero,40,30,0,3,11775199
371,Fernando Hernandez,Liverpool,Defensa,28,20,4,7,73504488
372,Luis Hernandez,Juventus,Delantero,40,23,5,15,63976942
373,Luis Perez,Milan,Mediocampista,25,15,5,3,147279667
374,Carlos Lopez,Bayern Munich,Mediocampista,24,11,0,14,90533776
375,Luis Lopez,Arsenal,Mediocampista,31,24,9,7,121421096
376,Javier Torres,Manchester City,Mediocampista,24,30,12,9,94082091
377,Ricardo Hernandez,Manchester City,Mediocampista,19,6,0,5,59099276
378,Eduardo Lopez,Arsenal,Portero,20,11,0,0,72638447
379,Carlos Ruiz,Liverpool,Delantero,27,37,8,15,147209597
380,Andres Torres,Juventus,Portero,28,38,0,3,26939040
381,Eduardo Ramirez,Milan,Mediocampista,30,27,5,2,146250123
382,Fernando Garcia,Bayern Munich,Delantero,28,33,16,8,179750093
383,Carlos Torres,Real Madrid,Portero,23,25,0,0,98202458
384,Diego Ramirez,Barcelona,Defensa,23,10,3,9,128771965
385,Diego Ruiz,Juventus,Portero,40,27,0,1,17346655
386,Fernando Ramirez,Juventus,Portero,27,9,0,3,140671329
387,Luis Hernandez,Real Madrid,Mediocampista,29,13,15,3,158940790
388,Diego Flores,Bayern Munich,Delantero,31,22,1,12,89763415
389,Diego Hernandez,Real Madrid,Mediocampista,23,18,10,0,131233599
390,Juan Ruiz,Arsenal,Defensa,40,14,4,2,85847959
391,Ricardo Silva,PSG,Delantero,22,5,40,8,48967963
392,Juan Lopez,Manchester City,Defensa,39,6,7,0,33624424
393,Luis Silva,Barcelona,Delantero,22,23,15,5,61066154
394,Juan Silva,Bayern Munich,Portero,34,18,0,0,162105393
395,Andres Garcia,PSG,Mediocampista,18,22,10,17,57259497
396,Luis Ruiz,PSG,Defensa,29,31,6,5,79905584
397,Ricardo Garcia,Real Madrid,Delantero,40,12,31,10,36473198
398,Diego Ruiz,Barcelona,Mediocampista,39,5,8,9,19027801
399,Diego Hernandez,Barcelona,Mediocampista,28,33,6,9,184000094
400,Juan Diaz,Barcelona,Defensa,28,37,0,4,142850844
401,Javier Lopez,Real Madrid,Defensa,31,5,5,2,192021473
402,Andres Perez,Juventus,Defensa,31,8,5,8,129015001
403,Miguel Ruiz,Liverpool,Delantero,22,28,37,5,199180565
404,Luis Lopez,Juventus,Delantero,20,24,31,6,120206264
405,Luis Garcia,PSG,Defensa,39,18,1,9,17829473
406,Ricardo Lopez,Chelsea,Defensa,37,37,6,1,173637308
407,Carlos Ruiz,Milan,Defensa,29,21,5,4,77748317
408,Juan Ruiz,Arsenal,Mediocampista,35,26,7,11,29364590
409,Andres Garcia,Milan,Mediocampista,28,26,15,2,114849532
410,Fernando Diaz,Bayern Munich,Mediocampista,24,16,6,17,163651049
411,Javier Perez,Milan,Delantero,22,24,34,9,49903629
412,Eduardo Hernandez,Chelsea,Delantero,32,16,32,7,45923763
